,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,adjoe,pfr,pid,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,ROUND
876,20,62.4,97.8,36.5,50.3,53.11,7.3,17.8,21.0,18.1,122,203,0.601,158,312,0.506,11,35,0.314,1.2,2.3,58.5,110.963,2.4,12999,0.67469877,88.0,121.0,70.0,190.0,0.7273,0.3684,30.0,31.0,0.9677,109.821,112.945,1.95037,129.048,-1.70292,0.350044,-2.05296,0.239661,34.0,2.83161,-2.59195,2.35,5.3,7.65,2.8,1.4,0.45,23.55,0.0
877,24,21.8,104.0,19.6,67.8,64.28,10.4,18.2,6.1,26.0,16,33,0.485,40,59,0.678,0,0,0.0,7.7,1.1,55.9,101.59,6.5,29660,0.39136332,31.0,41.0,9.0,18.0,0.7561,0.5,9.0,9.0,1.0,106.612,105.85,0.815859,50.3882,-0.064731,-1.95555,1.89082,-1.40362,10.1923,-1.70978,0.306161,1.1154,1.4615,2.5769,0.3462,0.1923,0.6923,4.4615,0.0
878,30,65.5,109.6,11.9,51.0,54.98,0.7,11.8,10.3,14.8,35,43,0.814,15,37,0.405,43,119,0.361,0.3,2.2,27.6,96.4251,2.8,24627,1.92012291,12.0,24.0,3.0,13.0,0.5,0.2308,0.0,0.0,0.0,103.784,105.631,2.11708,148.07,0.431505,0.524474,-0.0929695,-0.352943,26.125,-1.31951,0.96657,0.1875,2.75,2.9375,1.5,1.0,0.0625,6.9688,0.0
879,23,54.7,99.7,16.9,42.7,47.02,2.2,8.9,25.0,19.8,41,64,0.641,51,107,0.477,7,37,0.189,1.3,2.8,44.4,92.1561,2.3,11839,2.39468593,36.0,60.0,15.0,47.0,0.6,0.3191,1.0,1.0,1.0,97.0897,101.29,2.53082,121.763,-0.328804,-0.545179,0.216375,-0.437446,28.913,-1.66377,1.22632,0.5217,2.4348,2.9565,3.9565,1.3478,0.3478,7.1304,0.0
880,26,42.3,109.6,22.7,55.3,59.57,13.3,20.1,5.9,18.7,67,94,0.713,89,161,0.553,0,0,0.0,1.4,2.2,58.4,112.986,6.2,7297,0.35900001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7596,95.0691,2.14015,115.727,0.624743,0.936689,-0.311946,1.38014,19.7692,1.30011,0.0800311,2.2692,3.8077,6.0769,0.5385,0.7692,0.2692,9.4231,0.0
881,30,76.5,91.7,23.7,48.4,50.38,7.7,22.2,7.5,18.7,61,99,0.616,158,320,0.494,5,22,0.227,1.9,0.2,28.9,95.884,3.2,67693,0.36000661,78.0,124.0,80.0,189.0,0.629,0.4233,2.0,2.0,1.0,113.215,113.373,1.70865,173.152,-5.72107,-3.66938,-2.05169,-4.71461,30.4839,-1.88938,-2.82523,2.3226,6.1935,8.5161,0.871,0.129,0.4516,13.129,0.0
882,30,38.7,84.7,22.7,41.0,47.26,10.2,22.3,2.9,25.0,49,75,0.653,50,122,0.41,0,0,0.0,6.8,1.0,61.5,90.2705,6.3,29128,0.13636054,39.0,72.0,11.0,50.0,0.5417,0.22,16.0,22.0,0.7273,97.9134,93.2833,2.02094,103.784,-3.80821,-6.55727,2.74906,-2.95716,16.2,-5.16594,2.20879,1.4,3.2667,4.6667,0.2,0.2667,0.9333,4.9667,0.0
883,29,72.4,98.7,29.4,50.1,54.43,7.9,25.0,8.8,18.3,110,156,0.705,170,341,0.499,1,1,1.0,1.2,1.0,45.6,107.2,3.6,30749,0.40788697,102.0,180.0,70.0,162.0,0.5667,0.4321,0.0,0.0,0.0,95.7534,96.5951,3.09697,179.853,-2.84817,-2.64512,-0.203051,0.352714,28.8667,0.747722,-0.395007,1.8667,6.8,8.6667,1.0333,0.5,0.3667,15.3,0.0
884,27,71.7,99.2,19.2,48.0,48.81,1.5,7.6,9.3,14.1,17,27,0.63,40,101,0.396,61,173,0.353,0.0,1.4,9.9,94.3956,1.3,26925,1.15380329,31.0,60.0,9.0,41.0,0.5167,0.2195,2.0,4.0,0.5,113.864,115.613,1.17251,98.9962,-4.61884,-0.424151,-4.19469,-3.73494,28.7742,-0.320063,-3.41488,0.3871,1.9032,2.2903,1.4516,0.7097,0.0323,10.8387,0.0
885,25,17.5,95.5,21.8,54.5,52.33,11.9,22.4,1.1,18.0,8,21,0.381,30,55,0.545,0,0,0.0,6.1,1.0,38.2,98.4242,8.0,72617,0.3332611,22.0,34.0,8.0,21.0,0.6471,0.381,4.0,4.0,1.0,93.0967,92.1475,0.919344,36.5739,-5.95179,-5.29045,-0.661338,-5.23222,8.2308,-5.22808,-0.0041347,0.7308,1.4231,2.1538,0.1538,0.1538,0.3846,2.9231,0.0
886,9,2.1,6.3,16.7,0.0,0.0,0.0,15.9,6.2,39.9,0,0,0.0,0,1,0.0,0,6,0.0,0.0,0.0,0.0,5.61122,7.4,16456,0.33333335,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.533,108.895,0.181691,4.07753,-16.2255,-12.4207,-3.80473,-24.4307,3.0,-18.1746,-6.25616,0.0,0.4444,0.4444,0.1111,0.0,0.0,0.0,0.0
